{'x': 6, 'y': 6, 'z': 4, 'id': 'point_0', 'index': '0', 'break': '75%'},
{'x': 1, 'y': 5, 'z': 3, 'id': 'point_20', 'index': '20', 'break': '0%'},
{'x': 6, 'y': 1, 'z': 2, 'id': 'point_21', 'index': '21', 'break': '50%'},
{'x': 8, 'y': 3, 'z': 1, 'id': 'point_22', 'index': '22', 'break': '0%'},
{'x': 4, 'y': 3, 'z': 9, 'id': 'point_23', 'index': '23', 'break': '50%'},
{'x': 6, 'y': 4, 'z': 4, 'id': 'point_24', 'index': '24', 'break': '50%'},
{'x': 6, 'y': 1, 'z': 7, 'id': 'point_25', 'index': '25', 'break': '50%'},
{'x': 9, 'y': 9, 'z': 5, 'id': 'point_26', 'index': '26', 'break': '0%'},
{'x': 9, 'y': 5, 'z': 6, 'id': 'point_27', 'index': '27', 'break': '75%'},
{'x': 8, 'y': 6, 'z': 6, 'id': 'point_28', 'index': '28', 'break': '50%'},
{'x': 6, 'y': 5, 'z': 5, 'id': 'point_29', 'index': '29', 'break': '0%'},
{'x': 2, 'y': 3, 'z': 7, 'id': 'point_30', 'index': '30', 'break': '100%'},
{'x': 3, 'y': 6, 'z': 3, 'id': 'point_31', 'index': '31', 'break': '100%'},
{'x': 6, 'y': 2, 'z': 1, 'id': 'point_32', 'index': '32', 'break': '50%'},
{'x': 7, 'y': 5, 'z': 5, 'id': 'point_33', 'index': '33', 'break': '75%'},
{'x': 9, 'y': 2, 'z': 9, 'id': 'point_34', 'index': '34', 'break': '50%'},
{'x': 0, 'y': 9, 'z': 4, 'id': 'point_35', 'index': '35', 'break': '50%'},
{'x': 5, 'y': 6, 'z': 1, 'id': 'point_36', 'index': '36', 'break': '0%'},
{'x': 3, 'y': 9, 'z': 1, 'id': 'point_37', 'index': '37', 'break': '75%'},
{'x': 0, 'y': 6, 'z': 3, 'id': 'point_38', 'index': '38', 'break': '100%'},
{'x': 9, 'y': 2, 'z': 6, 'id': 'point_39', 'index': '39', 'break': '100%'},
{'x': 7, 'y': 8, 'z': 6, 'id': 'point_40', 'index': '40', 'break': '75%'},
{'x': 1, 'y': 1, 'z': 3, 'id': 'point_41', 'index': '41', 'break': '75%'},
{'x': 4, 'y': 8, 'z': 4, 'id': 'point_42', 'index': '42', 'break': '50%'},
{'x': 0, 'y': 5, 'z': 3, 'id': 'point_43', 'index': '43', 'break': '75%'},
{'x': 4, 'y': 9, 'z': 6, 'id': 'point_44', 'index': '44', 'break': '100%'},
{'x': 2, 'y': 6, 'z': 5, 'id': 'point_45', 'index': '45', 'break': '100%'},
{'x': 3, 'y': 1, 'z': 8, 'id': 'point_46', 'index': '46', 'break': '100%'},
{'x': 1, 'y': 2, 'z': 2, 'id': 'point_47', 'index': '47', 'break': '75%'},
{'x': 0, 'y': 2, 'z': 0, 'id': 'point_48', 'index': '48', 'break': '75%'},
{'x': 0, 'y': 5, 'z': 5, 'id': 'point_49', 'index': '49', 'break': '0%'},
{'x': 1, 'y': 0, 'z': 3, 'id': 'point_50', 'index': '50', 'break': '75%'},
{'x': 4, 'y': 2, 'z': 5, 'id': 'point_51', 'index': '51', 'break': '0%'},
{'x': 6, 'y': 0, 'z': 4, 'id': 'point_52', 'index': '52', 'break': '75%'},
{'x': 7, 'y': 6, 'z': 9, 'id': 'point_53', 'index': '53', 'break': '50%'},
{'x': 7, 'y': 2, 'z': 8, 'id': 'point_54', 'index': '54', 'break': '75%'},
{'x': 5, 'y': 9, 'z': 4, 'id': 'point_55', 'index': '55', 'break': '100%'},
{'x': 2, 'y': 9, 'z': 8, 'id': 'point_56', 'index': '56', 'break': '50%'},
{'x': 3, 'y': 1, 'z': 9, 'id': 'point_57', 'index': '57', 'break': '100%'},
{'x': 3, 'y': 6, 'z': 2, 'id': 'point_58', 'index': '58', 'break': '50%'},
{'x': 8, 'y': 8, 'z': 2, 'id': 'point_59', 'index': '59', 'break': '75%'},
{'x': 5, 'y': 0, 'z': 6, 'id': 'point_60', 'index': '60', 'break': '50%'},
{'x': 2, 'y': 1, 'z': 6, 'id': 'point_61', 'index': '61', 'break': '75%'},
{'x': 0, 'y': 0, 'z': 7, 'id': 'point_62', 'index': '62', 'break': '50%'},
{'x': 2, 'y': 1, 'z': 3, 'id': 'point_63', 'index': '63', 'break': '100%'},
{'x': 4, 'y': 4, 'z': 4, 'id': 'point_64', 'index': '64', 'break': '100%'},
{'x': 2, 'y': 4, 'z': 8, 'id': 'point_65', 'index': '65', 'break': '50%'},
{'x': 3, 'y': 2, 'z': 2, 'id': 'point_66', 'index': '66', 'break': '0%'},
{'x': 9, 'y': 6, 'z': 9, 'id': 'point_67', 'index': '67', 'break': '50%'},
{'x': 7, 'y': 4, 'z': 1, 'id': 'point_68', 'index': '68', 'break': '50%'},
{'x': 0, 'y': 9, 'z': 9, 'id': 'point_69', 'index': '69', 'break': '0%'},
{'x': 3, 'y': 1, 'z': 1, 'id': 'point_70', 'index': '70', 'break': '100%'},
{'x': 8, 'y': 5, 'z': 4, 'id': 'point_71', 'index': '71', 'break': '50%'},
{'x': 2, 'y': 8, 'z': 6, 'id': 'point_72', 'index': '72', 'break': '75%'},
{'x': 3, 'y': 6, 'z': 9, 'id': 'point_73', 'index': '73', 'break': '75%'},
{'x': 7, 'y': 5, 'z': 0, 'id': 'point_74', 'index': '74', 'break': '0%'},
{'x': 7, 'y': 5, 'z': 7, 'id': 'point_75', 'index': '75', 'break': '0%'},
{'x': 2, 'y': 1, 'z': 1, 'id': 'point_76', 'index': '76', 'break': '50%'},
{'x': 1, 'y': 4, 'z': 0, 'id': 'point_77', 'index': '77', 'break': '50%'},
{'x': 7, 'y': 7, 'z': 2, 'id': 'point_78', 'index': '78', 'break': '50%'},
{'x': 2, 'y': 3, 'z': 4, 'id': 'point_79', 'index': '79', 'break': '50%'},
{'x': 3, 'y': 0, 'z': 4, 'id': 'point_80', 'index': '80', 'break': '100%'},
{'x': 1, 'y': 2, 'z': 0, 'id': 'point_81', 'index': '81', 'break': '50%'},
{'x': 2, 'y': 3, 'z': 1, 'id': 'point_82', 'index': '82', 'break': '100%'},
{'x': 5, 'y': 3, 'z': 9, 'id': 'point_83', 'index': '83', 'break': '0%'},
{'x': 3, 'y': 4, 'z': 4, 'id': 'point_84', 'index': '84', 'break': '100%'},
{'x': 1, 'y': 6, 'z': 7, 'id': 'point_85', 'index': '85', 'break': '75%'},
{'x': 7, 'y': 5, 'z': 0, 'id': 'point_86', 'index': '86', 'break': '50%'},
{'x': 7, 'y': 7, 'z': 6, 'id': 'point_87', 'index': '87', 'break': '75%'},
{'x': 8, 'y': 1, 'z': 0, 'id': 'point_88', 'index': '88', 'break': '0%'},
{'x': 1, 'y': 9, 'z': 2, 'id': 'point_89', 'index': '89', 'break': '100%'},
{'x': 1, 'y': 8, 'z': 2, 'id': 'point_90', 'index': '90', 'break': '0%'},
{'x': 4, 'y': 6, 'z': 0, 'id': 'point_91', 'index': '91', 'break': '0%'},
{'x': 2, 'y': 7, 'z': 1, 'id': 'point_92', 'index': '92', 'break': '0%'},
{'x': 0, 'y': 1, 'z': 0, 'id': 'point_93', 'index': '93', 'break': '75%'},
{'x': 2, 'y': 2, 'z': 5, 'id': 'point_94', 'index': '94', 'break': '0%'},
{'x': 9, 'y': 8, 'z': 0, 'id': 'point_95', 'index': '95', 'break': '75%'},
{'x': 4, 'y': 4, 'z': 5, 'id': 'point_96', 'index': '96', 'break': '100%'},
{'x': 4, 'y': 3, 'z': 0, 'id': 'point_97', 'index': '97', 'break': '75%'},
{'x': 1, 'y': 6, 'z': 1, 'id': 'point_98', 'index': '98', 'break': '100%'},
{'x': 8, 'y': 6, 'z': 7, 'id': 'point_99', 'index': '99', 'break': '100%'},
{'x': 3, 'y': 7, 'z': 6, 'id': 'point_100', 'index': '100', 'break': '50%'},
{'x': 1, 'y': 5, 'z': 3, 'id': 'point_101', 'index': '101', 'break': '50%'},
{'x': 3, 'y': 8, 'z': 7, 'id': 'point_102', 'index': '102', 'break': '50%'},
{'x': 1, 'y': 7, 'z': 0, 'id': 'point_103', 'index': '103', 'break': '75%'},
{'x': 9, 'y': 9, 'z': 6, 'id': 'point_104', 'index': '104', 'break': '75%'},
{'x': 4, 'y': 4, 'z': 6, 'id': 'point_105', 'index': '105', 'break': '50%'},
{'x': 6, 'y': 6, 'z': 7, 'id': 'point_106', 'index': '106', 'break': '100%'},
{'x': 4, 'y': 2, 'z': 3, 'id': 'point_107', 'index': '107', 'break': '50%'},
{'x': 1, 'y': 9, 'z': 7, 'id': 'point_108', 'index': '108', 'break': '75%'},
{'x': 5, 'y': 8, 'z': 3, 'id': 'point_109', 'index': '109', 'break': '50%'},
{'x': 1, 'y': 8, 'z': 7, 'id': 'point_110', 'index': '110', 'break': '75%'},
{'x': 2, 'y': 4, 'z': 4, 'id': 'point_111', 'index': '111', 'break': '0%'},
{'x': 6, 'y': 4, 'z': 2, 'id': 'point_112', 'index': '112', 'break': '50%'},
{'x': 2, 'y': 0, 'z': 0, 'id': 'point_113', 'index': '113', 'break': '100%'},
{'x': 5, 'y': 7, 'z': 1, 'id': 'point_114', 'index': '114', 'break': '50%'},
{'x': 0, 'y': 9, 'z': 4, 'id': 'point_115', 'index': '115', 'break': '50%'},
{'x': 0, 'y': 3, 'z': 5, 'id': 'point_116', 'index': '116', 'break': '50%'},
{'x': 6, 'y': 9, 'z': 4, 'id': 'point_117', 'index': '117', 'break': '75%'},
{'x': 1, 'y': 0, 'z': 7, 'id': 'point_118', 'index': '118', 'break': '75%'},
{'x': 8, 'y': 8, 'z': 1, 'id': 'point_119', 'index': '119', 'break': '75%'},
{'x': 6, 'y': 6, 'z': 1, 'id': 'point_120', 'index': '120', 'break': '100%'},
{'x': 1, 'y': 1, 'z': 4, 'id': 'point_121', 'index': '121', 'break': '50%'},
{'x': 9, 'y': 8, 'z': 8, 'id': 'point_122', 'index': '122', 'break': '0%'},
{'x': 1, 'y': 3, 'z': 8, 'id': 'point_123', 'index': '123', 'break': '50%'},
{'x': 7, 'y': 8, 'z': 1, 'id': 'point_124', 'index': '124', 'break': '75%'},
{'x': 5, 'y': 6, 'z': 1, 'id': 'point_125', 'index': '125', 'break': '100%'},
{'x': 1, 'y': 2, 'z': 6, 'id': 'point_126', 'index': '126', 'break': '50%'},
{'x': 0, 'y': 9, 'z': 6, 'id': 'point_127', 'index': '127', 'break': '0%'},
{'x': 9, 'y': 4, 'z': 8, 'id': 'point_128', 'index': '128', 'break': '75%'},
{'x': 0, 'y': 7, 'z': 2, 'id': 'point_129', 'index': '129', 'break': '100%'},
{'x': 8, 'y': 0, 'z': 2, 'id': 'point_130', 'index': '130', 'break': '75%'},
{'x': 5, 'y': 7, 'z': 7, 'id': 'point_131', 'index': '131', 'break': '100%'},
{'x': 0, 'y': 5, 'z': 8, 'id': 'point_132', 'index': '132', 'break': '75%'},
{'x': 3, 'y': 7, 'z': 7, 'id': 'point_133', 'index': '133', 'break': '0%'},
{'x': 7, 'y': 4, 'z': 1, 'id': 'point_134', 'index': '134', 'break': '0%'},
{'x': 1, 'y': 4, 'z': 7, 'id': 'point_135', 'index': '135', 'break': '50%'},
{'x': 9, 'y': 4, 'z': 0, 'id': 'point_136', 'index': '136', 'break': '0%'},
{'x': 7, 'y': 8, 'z': 1, 'id': 'point_137', 'index': '137', 'break': '75%'},
{'x': 6, 'y': 6, 'z': 2, 'id': 'point_138', 'index': '138', 'break': '50%'},
{'x': 4, 'y': 3, 'z': 5, 'id': 'point_139', 'index': '139', 'break': '75%'},
{'x': 6, 'y': 1, 'z': 3, 'id': 'point_140', 'index': '140', 'break': '50%'},
{'x': 9, 'y': 2, 'z': 4, 'id': 'point_141', 'index': '141', 'break': '0%'},
{'x': 7, 'y': 2, 'z': 0, 'id': 'point_142', 'index': '142', 'break': '100%'},
{'x': 9, 'y': 6, 'z': 9, 'id': 'point_143', 'index': '143', 'break': '100%'},
{'x': 2, 'y': 5, 'z': 9, 'id': 'point_144', 'index': '144', 'break': '75%'},
{'x': 0, 'y': 0, 'z': 9, 'id': 'point_145', 'index': '145', 'break': '100%'},
{'x': 7, 'y': 0, 'z': 9, 'id': 'point_146', 'index': '146', 'break': '0%'},
{'x': 7, 'y': 9, 'z': 3, 'id': 'point_147', 'index': '147', 'break': '100%'},
{'x': 5, 'y': 2, 'z': 6, 'id': 'point_148', 'index': '148', 'break': '0%'},
{'x': 6, 'y': 3, 'z': 8, 'id': 'point_149', 'index': '149', 'break': '100%'},
{'x': 1, 'y': 6, 'z': 0, 'id': 'point_150', 'index': '150', 'break': '100%'},
{'x': 6, 'y': 4, 'z': 5, 'id': 'point_151', 'index': '151', 'break': '75%'},
{'x': 6, 'y': 0, 'z': 4, 'id': 'point_152', 'index': '152', 'break': '0%'},
{'x': 2, 'y': 4, 'z': 9, 'id': 'point_153', 'index': '153', 'break': '75%'},
{'x': 3, 'y': 4, 'z': 2, 'id': 'point_154', 'index': '154', 'break': '50%'},
{'x': 1, 'y': 8, 'z': 6, 'id': 'point_155', 'index': '155', 'break': '100%'},
{'x': 8, 'y': 9, 'z': 0, 'id': 'point_156', 'index': '156', 'break': '75%'},
{'x': 2, 'y': 6, 'z': 0, 'id': 'point_157', 'index': '157', 'break': '50%'},
{'x': 1, 'y': 3, 'z': 1, 'id': 'point_158', 'index': '158', 'break': '100%'},
{'x': 5, 'y': 0, 'z': 3, 'id': 'point_159', 'index': '159', 'break': '50%'},
{'x': 5, 'y': 5, 'z': 8, 'id': 'point_160', 'index': '160', 'break': '100%'},
{'x': 1, 'y': 4, 'z': 1, 'id': 'point_161', 'index': '161', 'break': '0%'},
{'x': 0, 'y': 8, 'z': 7, 'id': 'point_162', 'index': '162', 'break': '75%'},
{'x': 4, 'y': 7, 'z': 3, 'id': 'point_163', 'index': '163', 'break': '0%'},
{'x': 7, 'y': 0, 'z': 7, 'id': 'point_164', 'index': '164', 'break': '0%'},
{'x': 7, 'y': 7, 'z': 3, 'id': 'point_165', 'index': '165', 'break': '50%'},
{'x': 7, 'y': 6, 'z': 2, 'id': 'point_166', 'index': '166', 'break': '50%'},
{'x': 2, 'y': 2, 'z': 8, 'id': 'point_167', 'index': '167', 'break': '0%'},
{'x': 6, 'y': 3, 'z': 1, 'id': 'point_168', 'index': '168', 'break': '100%'},
{'x': 3, 'y': 7, 'z': 5, 'id': 'point_169', 'index': '169', 'break': '0%'},
{'x': 1, 'y': 3, 'z': 3, 'id': 'point_170', 'index': '170', 'break': '50%'},
{'x': 1, 'y': 2, 'z': 3, 'id': 'point_171', 'index': '171', 'break': '75%'},
{'x': 5, 'y': 1, 'z': 0, 'id': 'point_172', 'index': '172', 'break': '100%'},
{'x': 9, 'y': 0, 'z': 8, 'id': 'point_173', 'index': '173', 'break': '50%'},
{'x': 6, 'y': 9, 'z': 3, 'id': 'point_174', 'index': '174', 'break': '75%'},
{'x': 1, 'y': 6, 'z': 4, 'id': 'point_175', 'index': '175', 'break': '50%'},
{'x': 0, 'y': 2, 'z': 3, 'id': 'point_176', 'index': '176', 'break': '0%'},
{'x': 4, 'y': 5, 'z': 9, 'id': 'point_177', 'index': '177', 'break': '0%'},
{'x': 8, 'y': 2, 'z': 4, 'id': 'point_178', 'index': '178', 'break': '100%'},
{'x': 1, 'y': 9, 'z': 7, 'id': 'point_179', 'index': '179', 'break': '75%'},
{'x': 2, 'y': 7, 'z': 0, 'id': 'point_180', 'index': '180', 'break': '100%'},
{'x': 9, 'y': 4, 'z': 2, 'id': 'point_181', 'index': '181', 'break': '0%'},
{'x': 1, 'y': 6, 'z': 5, 'id': 'point_182', 'index': '182', 'break': '100%'},
{'x': 4, 'y': 3, 'z': 9, 'id': 'point_183', 'index': '183', 'break': '100%'},
{'x': 8, 'y': 2, 'z': 5, 'id': 'point_184', 'index': '184', 'break': '50%'},
{'x': 2, 'y': 1, 'z': 1, 'id': 'point_185', 'index': '185', 'break': '50%'},
{'x': 6, 'y': 0, 'z': 0, 'id': 'point_186', 'index': '186', 'break': '75%'},
{'x': 2, 'y': 1, 'z': 5, 'id': 'point_187', 'index': '187', 'break': '100%'},
{'x': 7, 'y': 5, 'z': 4, 'id': 'point_188', 'index': '188', 'break': '50%'},
{'x': 8, 'y': 3, 'z': 0, 'id': 'point_189', 'index': '189', 'break': '75%'},
{'x': 9, 'y': 7, 'z': 8, 'id': 'point_190', 'index': '190', 'break': '50%'},
{'x': 7, 'y': 2, 'z': 3, 'id': 'point_191', 'index': '191', 'break': '50%'},
{'x': 5, 'y': 3, 'z': 7, 'id': 'point_192', 'index': '192', 'break': '0%'},
{'x': 6, 'y': 3, 'z': 5, 'id': 'point_193', 'index': '193', 'break': '50%'},
{'x': 0, 'y': 1, 'z': 0, 'id': 'point_194', 'index': '194', 'break': '100%'},
{'x': 9, 'y': 0, 'z': 5, 'id': 'point_195', 'index': '195', 'break': '75%'},
{'x': 9, 'y': 5, 'z': 2, 'id': 'point_196', 'index': '196', 'break': '100%'},
{'x': 7, 'y': 2, 'z': 8, 'id': 'point_197', 'index': '197', 'break': '0%'},
{'x': 3, 'y': 2, 'z': 9, 'id': 'point_198', 'index': '198', 'break': '0%'},
{'x': 3, 'y': 9, 'z': 7, 'id': 'point_199', 'index': '199', 'break': '0%'},
{'x': 6, 'y': 4, 'z': 2, 'id': 'point_200', 'index': '200', 'break': '75%'},
{'x': 4, 'y': 5, 'z': 0, 'id': 'point_201', 'index': '201', 'break': '100%'},
{'x': 9, 'y': 3, 'z': 9, 'id': 'point_202', 'index': '202', 'break': '50%'},
{'x': 5, 'y': 5, 'z': 9, 'id': 'point_203', 'index': '203', 'break': '50%'},
{'x': 5, 'y': 1, 'z': 1, 'id': 'point_204', 'index': '204', 'break': '75%'},
{'x': 0, 'y': 2, 'z': 0, 'id': 'point_205', 'index': '205', 'break': '0%'},
{'x': 1, 'y': 9, 'z': 2, 'id': 'point_206', 'index': '206', 'break': '100%'},
{'x': 6, 'y': 4, 'z': 0, 'id': 'point_207', 'index': '207', 'break': '0%'},
{'x': 1, 'y': 8, 'z': 6, 'id': 'point_208', 'index': '208', 'break': '75%'},
{'x': 2, 'y': 5, 'z': 3, 'id': 'point_209', 'index': '209', 'break': '0%'},
{'x': 8, 'y': 2, 'z': 9, 'id': 'point_210', 'index': '210', 'break': '75%'},
{'x': 3, 'y': 8, 'z': 5, 'id': 'point_211', 'index': '211', 'break': '100%'},
{'x': 1, 'y': 3, 'z': 9, 'id': 'point_212', 'index': '212', 'break': '0%'},
{'x': 4, 'y': 2, 'z': 3, 'id': 'point_213', 'index': '213', 'break': '100%'},
{'x': 7, 'y': 7, 'z': 6, 'id': 'point_214', 'index': '214', 'break': '75%'},
{'x': 3, 'y': 8, 'z': 2, 'id': 'point_215', 'index': '215', 'break': '50%'},
{'x': 7, 'y': 1, 'z': 9, 'id': 'point_216', 'index': '216', 'break': '50%'},
{'x': 8, 'y': 8, 'z': 9, 'id': 'point_217', 'index': '217', 'break': '0%'},
{'x': 0, 'y': 9, 'z': 4, 'id': 'point_218', 'index': '218', 'break': '100%'},
{'x': 4, 'y': 2, 'z': 9, 'id': 'point_219', 'index': '219', 'break': '100%'},
{'x': 4, 'y': 0, 'z': 9, 'id': 'point_220', 'index': '220', 'break': '50%'},
{'x': 0, 'y': 0, 'z': 1, 'id': 'point_221', 'index': '221', 'break': '0%'},
{'x': 4, 'y': 8, 'z': 7, 'id': 'point_222', 'index': '222', 'break': '50%'},
{'x': 0, 'y': 4, 'z': 4, 'id': 'point_223', 'index': '223', 'break': '100%'},
{'x': 6, 'y': 8, 'z': 6, 'id': 'point_224', 'index': '224', 'break': '100%'},
{'x': 1, 'y': 5, 'z': 9, 'id': 'point_225', 'index': '225', 'break': '75%'},
{'x': 0, 'y': 2, 'z': 9, 'id': 'point_226', 'index': '226', 'break': '75%'},
{'x': 9, 'y': 9, 'z': 3, 'id': 'point_227', 'index': '227', 'break': '50%'},
{'x': 2, 'y': 8, 'z': 4, 'id': 'point_228', 'index': '228', 'break': '50%'},
{'x': 1, 'y': 1, 'z': 2, 'id': 'point_229', 'index': '229', 'break': '100%'},
{'x': 4, 'y': 4, 'z': 4, 'id': 'point_230', 'index': '230', 'break': '75%'},
{'x': 8, 'y': 7, 'z': 4, 'id': 'point_231', 'index': '231', 'break': '50%'},
{'x': 3, 'y': 7, 'z': 3, 'id': 'point_232', 'index': '232', 'break': '100%'},
{'x': 6, 'y': 9, 'z': 8, 'id': 'point_233', 'index': '233', 'break': '75%'},
{'x': 5, 'y': 9, 'z': 8, 'id': 'point_234', 'index': '234', 'break': '50%'},
{'x': 9, 'y': 7, 'z': 0, 'id': 'point_235', 'index': '235', 'break': '0%'},
{'x': 0, 'y': 6, 'z': 1, 'id': 'point_236', 'index': '236', 'break': '50%'},
{'x': 7, 'y': 6, 'z': 4, 'id': 'point_237', 'index': '237', 'break': '0%'},
{'x': 2, 'y': 7, 'z': 8, 'id': 'point_238', 'index': '238', 'break': '75%'},
{'x': 7, 'y': 9, 'z': 0, 'id': 'point_239', 'index': '239', 'break': '50%'},
{'x': 8, 'y': 4, 'z': 5, 'id': 'point_240', 'index': '240', 'break': '0%'},
{'x': 9, 'y': 3, 'z': 2, 'id': 'point_241', 'index': '241', 'break': '0%'},
{'x': 1, 'y': 9, 'z': 4, 'id': 'point_242', 'index': '242', 'break': '50%'},
{'x': 6, 'y': 5, 'z': 4, 'id': 'point_243', 'index': '243', 'break': '0%'},
{'x': 7, 'y': 1, 'z': 3, 'id': 'point_244', 'index': '244', 'break': '0%'},
{'x': 7, 'y': 0, 'z': 9, 'id': 'point_245', 'index': '245', 'break': '50%'},
{'x': 7, 'y': 3, 'z': 1, 'id': 'point_246', 'index': '246', 'break': '100%'},
{'x': 2, 'y': 9, 'z': 3, 'id': 'point_247', 'index': '247', 'break': '0%'},
{'x': 8, 'y': 9, 'z': 2, 'id': 'point_248', 'index': '248', 'break': '75%'},
{'x': 1, 'y': 6, 'z': 1, 'id': 'point_249', 'index': '249', 'break': '50%'},
{'x': 6, 'y': 8, 'z': 3, 'id': 'point_250', 'index': '250', 'break': '0%'},
{'x': 5, 'y': 4, 'z': 6, 'id': 'point_251', 'index': '251', 'break': '0%'},
{'x': 2, 'y': 1, 'z': 4, 'id': 'point_252', 'index': '252', 'break': '100%'},
{'x': 9, 'y': 8, 'z': 0, 'id': 'point_253', 'index': '253', 'break': '75%'},
{'x': 6, 'y': 5, 'z': 8, 'id': 'point_254', 'index': '254', 'break': '0%'},
{'x': 6, 'y': 5, 'z': 2, 'id': 'point_255', 'index': '255', 'break': '0%'},
{'x': 0, 'y': 3, 'z': 1, 'id': 'point_256', 'index': '256', 'break': '0%'},
{'x': 9, 'y': 1, 'z': 2, 'id': 'point_257', 'index': '257', 'break': '0%'},
{'x': 2, 'y': 1, 'z': 0, 'id': 'point_258', 'index': '258', 'break': '0%'},
{'x': 4, 'y': 3, 'z': 6, 'id': 'point_259', 'index': '259', 'break': '100%'},
{'x': 5, 'y': 8, 'z': 6, 'id': 'point_260', 'index': '260', 'break': '50%'},
{'x': 5, 'y': 1, 'z': 3, 'id': 'point_261', 'index': '261', 'break': '0%'},
{'x': 6, 'y': 9, 'z': 1, 'id': 'point_262', 'index': '262', 'break': '75%'},
{'x': 0, 'y': 2, 'z': 1, 'id': 'point_263', 'index': '263', 'break': '0%'},
{'x': 5, 'y': 3, 'z': 1, 'id': 'point_264', 'index': '264', 'break': '0%'},
{'x': 0, 'y': 6, 'z': 4, 'id': 'point_265', 'index': '265', 'break': '75%'},
{'x': 0, 'y': 4, 'z': 6, 'id': 'point_266', 'index': '266', 'break': '100%'},
{'x': 6, 'y': 6, 'z': 5, 'id': 'point_267', 'index': '267', 'break': '100%'},
{'x': 5, 'y': 8, 'z': 8, 'id': 'point_268', 'index': '268', 'break': '75%'},
{'x': 1, 'y': 8, 'z': 7, 'id': 'point_269', 'index': '269', 'break': '50%'},
{'x': 3, 'y': 6, 'z': 5, 'id': 'point_270', 'index': '270', 'break': '0%'},
{'x': 6, 'y': 5, 'z': 6, 'id': 'point_271', 'index': '271', 'break': '0%'},
{'x': 1, 'y': 5, 'z': 7, 'id': 'point_272', 'index': '272', 'break': '75%'},
{'x': 0, 'y': 8, 'z': 3, 'id': 'point_273', 'index': '273', 'break': '100%'},
{'x': 6, 'y': 3, 'z': 0, 'id': 'point_274', 'index': '274', 'break': '100%'},
{'x': 2, 'y': 6, 'z': 2, 'id': 'point_275', 'index': '275', 'break': '75%'},
{'x': 2, 'y': 8, 'z': 9, 'id': 'point_276', 'index': '276', 'break': '50%'},
{'x': 8, 'y': 5, 'z': 5, 'id': 'point_277', 'index': '277', 'break': '100%'},
{'x': 3, 'y': 2, 'z': 9, 'id': 'point_278', 'index': '278', 'break': '50%'},
{'x': 2, 'y': 7, 'z': 3, 'id': 'point_279', 'index': '279', 'break': '75%'},
{'x': 9, 'y': 8, 'z': 6, 'id': 'point_280', 'index': '280', 'break': '75%'},
{'x': 1, 'y': 4, 'z': 0, 'id': 'point_281', 'index': '281', 'break': '100%'},
{'x': 9, 'y': 6, 'z': 2, 'id': 'point_282', 'index': '282', 'break': '0%'},
{'x': 6, 'y': 9, 'z': 2, 'id': 'point_283', 'index': '283', 'break': '75%'},
{'x': 5, 'y': 5, 'z': 7, 'id': 'point_284', 'index': '284', 'break': '0%'},
{'x': 8, 'y': 1, 'z': 3, 'id': 'point_285', 'index': '285', 'break': '0%'},
{'x': 3, 'y': 2, 'z': 3, 'id': 'point_286', 'index': '286', 'break': '50%'},
{'x': 8, 'y': 3, 'z': 7, 'id': 'point_287', 'index': '287', 'break': '100%'},
{'x': 3, 'y': 8, 'z': 1, 'id': 'point_288', 'index': '288', 'break': '75%'},
{'x': 5, 'y': 4, 'z': 4, 'id': 'point_289', 'index': '289', 'break': '100%'},
